"Home name",Long,Lat
Palackeho,15.421978,50.033354

,,"Product name","Product type",,,
,,Thermostat,NATherm1,,,

Timestamp,"Timezone : Europe/Prague","Temperature °C","Setpoint Temperature °C","Boiler ON","Boiler OFF",
1769969850,"2026/02/01 19:17:30",22.8,23,603,0,
1769970450,"2026/02/01 19:27:30",22.8,23,591,0,
1769971050,"2026/02/01 19:37:30",22.8,23,603,0,
1769971650,"2026/02/01 19:47:30",22.8,23,602,0,
1769972250,"2026/02/01 19:57:30",22.8,23,603,0,
1769972850,"2026/02/01 20:07:30",22.9,23,592,0,
1769973450,"2026/02/01 20:17:30",22.9,23,602,0,
1769974050,"2026/02/01 20:27:30",22.9,23,603,0,
1769974650,"2026/02/01 20:37:30",22.9,23,602,0,
1769975250,"2026/02/01 20:47:30",22.9,23,592,0,
1769975850,"2026/02/01 20:57:30",22.9,23,602,0,
1769976450,"2026/02/01 21:07:30",22.9,23,603,0,
1769977050,"2026/02/01 21:17:30",23,23,602,0,
1769977650,"2026/02/01 21:27:30",23,23,603,0,
1769978250,"2026/02/01 21:37:30",23,23,592,0,
1769978850,"2026/02/01 21:47:30",23,23,602,0,
1769979450,"2026/02/01 21:57:30",23,23,603,0,
1769980050,"2026/02/01 22:07:30",23,23,602,0,
1769980650,"2026/02/01 22:17:30",23,23,592,0,
1769981250,"2026/02/01 22:27:30",23,23,602,0,
1769981850,"2026/02/01 22:37:30",22.9,23,603,0,
1769982450,"2026/02/01 22:47:30",22.9,23,602,0,
1769983050,"2026/02/01 22:57:30",22.9,23,592,0,
1769983650,"2026/02/01 23:07:30",22.9,23,603,0,
1769984250,"2026/02/01 23:17:30",22.9,23,602,0,
1769984850,"2026/02/01 23:27:30",22.9,23,603,0,
1769985450,"2026/02/01 23:37:30",22.9,23,602,0,
1769986050,"2026/02/01 23:47:30",22.9,23,592,0,
1769986650,"2026/02/01 23:57:30",22.9,23,602,0,
1769987250,"2026/02/02 00:07:30",22.9,23,603,0,
1769987850,"2026/02/02 00:17:30",22.9,23,602,0,
1769988450,"2026/02/02 00:27:30",22.9,23,592,0,
1769989050,"2026/02/02 00:37:30",22.9,23,603,0,
1769989650,"2026/02/02 00:47:30",22.9,23,602,0,
1769990250,"2026/02/02 00:57:30",22.9,23,603,0,
1769990850,"2026/02/02 01:07:30",22.9,23,591,0,
1769991450,"2026/02/02 01:17:30",22.9,23,603,0,
1769992050,"2026/02/02 01:27:30",22.9,23,602,0,
1769992650,"2026/02/02 01:37:30",22.9,23,603,0,
1769993250,"2026/02/02 01:47:30",22.9,23,602,0,
1769993850,"2026/02/02 01:57:30",22.9,23,591,0,
